2021-08-28 14:35:05,236 (main.py:410) [__main__][INFO] Load the structure information.
2021-08-28 14:35:05,236 (main.py:126) [__main__][INFO] Molecule was align_structure to 37-38 location.
2021-08-28 14:35:05,236 (main.py:126) [__main__][INFO] Molecule was align_structure to 37-38 location.
2021-08-28 14:35:09,018 (main.py:418) [__main__][INFO] The atom_list is defaultdict(<class 'list'>, {Element Ce: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], Element O: [12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35], 'mol': [36, 37]})
2021-08-28 14:35:09,019 (main.py:420) [__main__][INFO] Apply the PBC and tailor the x-y, z coordinates.
2021-08-28 14:35:09,162 (main.py:262) [__main__][WARNING] i_new = 0.004423 j_new = -0.284834 index = (1, 0, 0)
2021-08-28 14:35:09,163 (main.py:262) [__main__][WARNING] i_new = 0.004423 j_new = -0.284834 index = (0, 0, 0)
2021-08-28 14:35:09,170 (main.py:262) [__main__][WARNING] i_new = 0.148168 j_new = -0.031759 index = (1, 1, 0)
2021-08-28 14:35:09,170 (main.py:262) [__main__][WARNING] i_new = 0.148168 j_new = -0.031759 index = (0, 0, 0)
2021-08-28 14:35:09,176 (main.py:262) [__main__][WARNING] i_new = 0.277778 j_new = -0.004703 index = (0, 1, 0)
2021-08-28 14:35:09,177 (main.py:262) [__main__][WARNING] i_new = 0.277778 j_new = -0.004703 index = (1, 1, 0)
2021-08-28 14:35:09,180 (main.py:262) [__main__][WARNING] i_new = 0.059979 j_new = -0.263051 index = (1, 0, 0)
2021-08-28 14:35:09,181 (main.py:262) [__main__][WARNING] i_new = 0.059979 j_new = -0.263051 index = (0, 0, 0)
2021-08-28 14:35:09,184 (main.py:262) [__main__][WARNING] i_new = 0.055556 j_new = -0.001736 index = (0, 1, 0)
2021-08-28 14:35:09,185 (main.py:262) [__main__][WARNING] i_new = 0.055556 j_new = -0.001736 index = (1, 0, 0)
2021-08-28 14:35:09,195 (main.py:262) [__main__][WARNING] i_new = 0.148168 j_new = -0.342270 index = (1, 1, 0)
2021-08-28 14:35:09,196 (main.py:262) [__main__][WARNING] i_new = 0.148168 j_new = -0.342270 index = (0, 0, 0)
2021-08-28 14:35:09,200 (main.py:262) [__main__][WARNING] i_new = 0.059979 j_new = -0.432566 index = (1, 0, 0)
2021-08-28 14:35:09,201 (main.py:262) [__main__][WARNING] i_new = 0.059979 j_new = -0.432566 index = (0, 0, 0)
2021-08-28 14:35:09,205 (main.py:262) [__main__][WARNING] i_new = 0.059979 j_new = -0.059157 index = (1, 0, 0)
2021-08-28 14:35:09,206 (main.py:262) [__main__][WARNING] i_new = 0.059979 j_new = -0.059157 index = (0, 0, 0)
2021-08-28 14:35:09,208 (main.py:262) [__main__][WARNING] i_new = 0.085545 j_new = -0.135157 index = (1, 1, 0)
2021-08-28 14:35:09,208 (main.py:262) [__main__][WARNING] i_new = 0.085545 j_new = -0.135157 index = (0, 0, 0)
2021-08-28 14:35:09,210 (main.py:262) [__main__][WARNING] i_new = 0.115534 j_new = -0.324342 index = (1, 0, 0)
2021-08-28 14:35:09,211 (main.py:262) [__main__][WARNING] i_new = 0.115534 j_new = -0.324342 index = (0, 0, 0)
2021-08-28 14:35:09,212 (main.py:262) [__main__][WARNING] i_new = 0.171090 j_new = -0.131222 index = (1, 0, 0)
2021-08-28 14:35:09,213 (main.py:262) [__main__][WARNING] i_new = 0.171090 j_new = -0.131222 index = (0, 0, 0)
2021-08-28 14:35:09,214 (main.py:262) [__main__][WARNING] i_new = 0.004423 j_new = -0.111086 index = (1, 0, 0)
2021-08-28 14:35:09,217 (main.py:262) [__main__][WARNING] i_new = 0.004423 j_new = -0.111086 index = (0, 0, 0)
2021-08-28 14:35:09,218 (main.py:262) [__main__][WARNING] i_new = 0.004423 j_new = -0.416949 index = (1, 0, 0)
2021-08-28 14:35:09,219 (main.py:262) [__main__][WARNING] i_new = 0.085545 j_new = -0.232254 index = (1, 1, 0)
