2021-09-05 15:59:43,771 (main.py:121) [__main__][INFO] Molecule was align to 37-38 location.
2021-09-05 16:02:39,691 (main.py:437) [__main__][INFO] Load the structure information.
2021-09-05 16:02:39,691 (main.py:121) [__main__][INFO] Molecule was align to 37-38 location.
2021-09-05 16:02:39,691 (main.py:121) [__main__][INFO] Molecule was align to 37-38 location.
2021-09-05 16:02:43,888 (main.py:445) [__main__][INFO] The atom_list is defaultdict(<class 'list'>, {Element Ce: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], Element O: [12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35], 'mol': [36, 37]})
2021-09-05 16:02:43,896 (main.py:447) [__main__][INFO] Apply the PBC and tailor the x-y, z coordinates.
2021-09-05 16:02:43,956 (main.py:257) [__main__][WARNING] i_new = 0.055556 j_new = -0.026982 index = (0, 1, 0)
2021-09-05 16:02:43,957 (main.py:257) [__main__][WARNING] i_new = 0.055556 j_new = -0.026982 index = (1, 0, 0)
2021-09-05 16:02:43,975 (main.py:257) [__main__][WARNING] i_new = 0.037057 j_new = -0.007578 index = (1, 1, 0)
2021-09-05 16:02:43,975 (main.py:257) [__main__][WARNING] i_new = 0.037057 j_new = -0.007578 index = (0, 0, 0)
2021-09-05 16:02:43,975 (main.py:257) [__main__][WARNING] i_new = 0.037057 j_new = -0.008777 index = (1, 1, 0)
2021-09-05 16:02:43,975 (main.py:257) [__main__][WARNING] i_new = 0.037057 j_new = -0.008777 index = (0, 0, 0)
2021-09-05 16:02:43,975 (main.py:257) [__main__][WARNING] i_new = 0.037057 j_new = -0.002167 index = (1, 1, 0)
2021-09-05 16:02:43,975 (main.py:257) [__main__][WARNING] i_new = 0.037057 j_new = -0.002167 index = (0, 0, 0)
2021-09-05 16:02:43,976 (main.py:257) [__main__][WARNING] i_new = 0.037057 j_new = -0.008413 index = (1, 1, 0)
2021-09-05 16:02:43,976 (main.py:257) [__main__][WARNING] i_new = 0.037057 j_new = -0.008413 index = (0, 0, 0)
2021-09-05 16:02:43,982 (main.py:257) [__main__][WARNING] i_new = 0.085545 j_new = -0.007979 index = (0, 1, 0)
2021-09-05 16:02:43,982 (main.py:257) [__main__][WARNING] i_new = 0.085545 j_new = -0.007979 index = (1, 0, 0)
2021-09-05 16:02:43,986 (main.py:257) [__main__][WARNING] i_new = 0.004423 j_new = -0.008735 index = (1, 0, 0)
2021-09-05 16:02:43,986 (main.py:257) [__main__][WARNING] i_new = 0.004423 j_new = -0.008735 index = (0, 0, 0)
2021-09-05 16:02:43,986 (main.py:257) [__main__][WARNING] i_new = 0.004423 j_new = -0.003558 index = (1, 0, 0)
2021-09-05 16:02:43,986 (main.py:257) [__main__][WARNING] i_new = 0.004423 j_new = -0.003558 index = (0, 0, 0)
2021-09-05 16:02:43,987 (main.py:257) [__main__][WARNING] i_new = 0.004423 j_new = -0.012956 index = (1, 0, 0)
2021-09-05 16:02:43,987 (main.py:257) [__main__][WARNING] i_new = 0.004423 j_new = -0.012956 index = (0, 0, 0)
2021-09-05 16:02:43,988 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.031759 index = (1, 1, 0)
2021-09-05 16:02:43,988 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.031759 index = (0, 0, 0)
2021-09-05 16:02:43,988 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.025653 index = (1, 1, 0)
2021-09-05 16:02:43,988 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.025653 index = (0, 0, 0)
2021-09-05 16:02:43,989 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.027806 index = (1, 1, 0)
2021-09-05 16:02:43,989 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.027806 index = (0, 0, 0)
2021-09-05 16:02:43,989 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.016229 index = (1, 1, 0)
2021-09-05 16:02:43,989 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.016229 index = (0, 0, 0)
2021-09-05 16:02:43,989 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.007869 index = (1, 1, 0)
2021-09-05 16:02:43,989 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.007869 index = (0, 0, 0)
2021-09-05 16:02:43,990 (main.py:257) [__main__][WARNING] i_new = 0.004423 j_new = -0.007243 index = (1, 0, 0)
2021-09-05 16:02:43,990 (main.py:257) [__main__][WARNING] i_new = 0.004423 j_new = -0.007243 index = (0, 0, 0)
2021-09-05 16:02:43,990 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.032678 index = (1, 1, 0)
2021-09-05 16:02:43,990 (main.py:257) [__main__][WARNING] i_new = 0.029989 j_new = -0.032678 index = (0, 0, 0)
