2021-10-25 10:31:37,202 (plot_text.py:175) [__main__][INFO] ori: avg time spent: 7.26 h
2021-10-25 10:31:37,203 (plot_text.py:175) [__main__][INFO] ML_v2: avg time spent: 4.79 h
2021-10-25 10:31:37,204 (plot_text.py:175) [__main__][INFO] ML-vcoord: avg time spent: 5.11 h
2021-10-25 11:31:15,541 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:31:15,541 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:31:34,530 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:31:34,530 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:31:53,333 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:31:53,334 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:33:02,375 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:33:02,375 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:39:30,697 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:39:30,697 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:41:17,012 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:41:17,013 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:42:05,859 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:42:05,859 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:44:01,171 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:44:01,172 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:45:14,910 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:45:14,910 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:45:20,374 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:45:20,375 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:45:24,390 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
